lamp_num,setting,n,mean_ild,median_ild,std_ild
1,Gold,283,0.8852,0.8895,0.0249
1,Det.,566,0.8723,0.8815,0.0352
1,PL α=8,6680,0.8727,0.8815,0.0361
1,PL α=4,6680,0.8754,0.8829,0.0342
1,PL α=2,6680,0.891,0.8934,0.0201
1,PL α=1,6680,0.8933,0.8952,0.0192
1,MMR λ=0.85,566,0.8789,0.8842,0.0276
1,MMR λ=0.7,566,0.884,0.8864,0.0223
1,MMR λ=0.55,566,0.8883,0.8897,0.0206
1,MMR λ=0.45,566,0.8912,0.8924,0.0194
1,MMR λ=0.3,566,0.8981,0.898,0.0188
1,MMR λ=0.15,566,0.9131,0.9128,0.018
2,Gold,286,0.9131,0.9157,0.0186
2,Det.,944,0.9169,0.9167,0.0147
2,PL α=8,10520,0.9165,0.9163,0.0142
2,PL α=4,10520,0.9171,0.9168,0.0139
2,PL α=2,10520,0.9225,0.9225,0.0132
2,PL α=1,10520,0.9247,0.9248,0.0134
2,MMR λ=0.85,944,0.9174,0.9172,0.0149
2,MMR λ=0.7,760,0.9181,0.9178,0.0145
2,MMR λ=0.55,944,0.9196,0.9193,0.0149
2,MMR λ=0.45,944,0.9207,0.9199,0.0149
2,MMR λ=0.3,760,0.9244,0.9239,0.0144
2,MMR λ=0.15,760,0.9332,0.9327,0.0141
3,Gold,689,0.8689,0.8876,0.0894
3,Det.,1378,0.8265,0.8605,0.127
3,PL α=8,13670,0.829,0.8618,0.1281
3,PL α=4,13670,0.842,0.8708,0.1219
3,PL α=2,13670,0.8829,0.8948,0.0758
3,PL α=1,13670,0.8918,0.8997,0.052
3,MMR λ=0.85,1378,0.8473,0.8727,0.1122
3,MMR λ=0.7,956,0.8549,0.8764,0.1027
3,MMR λ=0.55,1378,0.8709,0.8813,0.0657
3,MMR λ=0.45,1378,0.8831,0.8883,0.0408
3,MMR λ=0.3,956,0.8991,0.9003,0.0338
3,MMR λ=0.15,956,0.9245,0.926,0.0289
4,Gold,1580,0.9307,0.9353,0.0292
4,Det.,3320,0.9126,0.9276,0.0703
4,PL α=8,33200,0.9125,0.9277,0.0704
4,PL α=4,27870,0.9172,0.9296,0.0631
4,PL α=2,27870,0.9355,0.9399,0.0268
4,PL α=1,27870,0.9389,0.9424,0.0224
4,MMR λ=0.85,3320,0.9162,0.9298,0.0656
4,MMR λ=0.7,1854,0.9205,0.9312,0.0569
4,MMR λ=0.55,3320,0.9233,0.9346,0.0568
4,MMR λ=0.45,3320,0.9286,0.9372,0.0467
4,MMR λ=0.3,1854,0.9415,0.9448,0.0233
4,MMR λ=0.15,1854,0.955,0.9589,0.0225
5,Gold,1585,0.8904,0.893,0.0226
5,Det.,3170,0.849,0.8603,0.048
5,PL α=8,31700,0.8499,0.8612,0.0479
5,PL α=4,31700,0.8607,0.8713,0.0434
5,PL α=2,31700,0.8887,0.8916,0.021
5,PL α=1,31700,0.8927,0.8945,0.0193
5,MMR λ=0.85,3170,0.8569,0.8673,0.0439
5,MMR λ=0.7,1718,0.8633,0.8716,0.0393
5,MMR λ=0.55,3170,0.8689,0.8755,0.0334
5,MMR λ=0.45,3170,0.8741,0.8789,0.0277
5,MMR λ=0.3,1718,0.8862,0.8883,0.0208
5,MMR λ=0.15,1718,0.91,0.9088,0.0193
6,Gold,1543,0.7322,0.7923,0.1892
6,Det.,3086,0.6497,0.7211,0.2286
6,PL α=8,30860,0.6514,0.7225,0.2285
6,PL α=4,30860,0.6663,0.7311,0.2209
6,PL α=2,30860,0.7319,0.7949,0.2008
6,PL α=1,30860,0.7545,0.8121,0.1879
6,MMR λ=0.85,3086,0.6696,0.7333,0.2211
6,MMR λ=0.7,1766,0.6919,0.7431,0.1996
6,MMR λ=0.55,3086,0.7344,0.768,0.1598
6,MMR λ=0.45,3086,0.7693,0.7937,0.1365
6,MMR λ=0.3,1766,0.8214,0.8553,0.1182
6,MMR λ=0.15,1766,0.8656,0.9084,0.1155
7,Gold,576,0.9305,0.9564,0.1291
7,Det.,1152,0.9193,0.9501,0.1438
7,PL α=8,11520,0.9195,0.9502,0.1441
7,PL α=4,11520,0.9211,0.9515,0.1432
7,PL α=2,11520,0.931,0.9558,0.1212
7,PL α=1,11520,0.9377,0.9574,0.1041
7,MMR λ=0.85,1152,0.9227,0.9513,0.1389
7,MMR λ=0.7,622,0.9271,0.9532,0.1296
7,MMR λ=0.55,1152,0.9359,0.9544,0.1042
7,MMR λ=0.45,1152,0.9437,0.9568,0.0865
7,MMR λ=0.3,622,0.9492,0.9599,0.079
7,MMR λ=0.15,622,0.9599,0.9701,0.078
ALL,Gold,6542,0.8649,0.8998,0.1303
ALL,Det.,13616,0.8287,0.8804,0.1656
ALL,PL α=8,138150,0.8305,0.8815,0.1643
ALL,PL α=4,132820,0.8359,0.8848,0.1596
ALL,PL α=2,132820,0.868,0.9013,0.1323
ALL,PL α=1,132820,0.8766,0.9052,0.1206
ALL,MMR λ=0.85,13616,0.8386,0.8847,0.157
ALL,MMR λ=0.7,8242,0.8498,0.8887,0.14
ALL,MMR λ=0.55,13616,0.8619,0.8912,0.1165
ALL,MMR λ=0.45,13616,0.8744,0.8958,0.0978
ALL,MMR λ=0.3,8242,0.8953,0.9075,0.0763
ALL,MMR λ=0.15,8242,0.9184,0.9276,0.0687
