method,setting,mean_delta,median_delta,n_cells,n_positive
pl,pl_a1,-0.041253170608151216,-0.029297102145328935,28,4
pl,pl_a2,-0.031125478552422876,-0.02430377237599446,28,6
pl,pl_a4,6.024623296605509e-05,0.0,28,13
pl,pl_a8,0.0006867411681354685,0.0005913879817125989,28,15
mmr,mmr_l0.3,-0.014543531736039545,-0.018424611223799875,28,9
mmr,mmr_l0.45,-0.003929347923878753,-0.004408168369621629,28,11
mmr,mmr_l0.55,-0.0013533232031075185,-0.00290091817195659,28,12
mmr,mmr_l0.7,-0.011058340377038872,-0.001930945220672664,28,11
mmr,mmr_l0.85,0.0005435110114003038,-0.00047774100362724115,28,12
mmr,mmr_l0.9,-0.00037835035660549465,-0.000176048779599286,28,12
mmr,mmr_l0.95,0.00012150513885119039,0.0,28,11
