method,lamp_num,generator_name,ranker,rho,p,n_settings
pl,1,flanT5Base,bm25,-1.0,0.0,4
pl,1,flanT5Base,contriever,-0.7999999999999999,0.2000000000000001,4
pl,1,flanT5Small,bm25,-0.9486832980505139,0.05131670194948613,4
pl,1,flanT5Small,contriever,-0.6000000000000001,0.4,4
pl,2,flanT5Base,bm25,1.0,0.0,4
pl,2,flanT5Base,contriever,-1.0,0.0,4
pl,2,flanT5Small,bm25,0.7999999999999999,0.2000000000000001,4
pl,2,flanT5Small,contriever,-0.316227766016838,0.683772233983162,4
pl,3,flanT5Base,bm25,0.7999999999999999,0.2000000000000001,4
pl,3,flanT5Base,contriever,-0.7999999999999999,0.2000000000000001,4
pl,3,flanT5Small,bm25,-1.0,0.0,4
pl,3,flanT5Small,contriever,-0.7999999999999999,0.2000000000000001,4
pl,4,flanT5Base,bm25,-1.0,0.0,4
pl,4,flanT5Base,contriever,-1.0,0.0,4
pl,4,flanT5Small,bm25,-0.7999999999999999,0.2000000000000001,4
pl,4,flanT5Small,contriever,-1.0,0.0,4
pl,5,flanT5Base,bm25,-0.7999999999999999,0.2000000000000001,4
pl,5,flanT5Base,contriever,-1.0,0.0,4
pl,5,flanT5Small,bm25,-0.7999999999999999,0.2000000000000001,4
pl,5,flanT5Small,contriever,-1.0,0.0,4
pl,6,flanT5Base,bm25,-1.0,0.0,4
pl,6,flanT5Base,contriever,-1.0,0.0,4
pl,6,flanT5Small,bm25,-1.0,0.0,4
pl,6,flanT5Small,contriever,-1.0,0.0,4
pl,7,flanT5Base,bm25,-0.7999999999999999,0.2000000000000001,4
pl,7,flanT5Base,contriever,0.39999999999999997,0.6,4
pl,7,flanT5Small,bm25,-0.7999999999999999,0.2000000000000001,4
pl,7,flanT5Small,contriever,-0.6000000000000001,0.4,4
mmr,1,flanT5Base,bm25,-0.9274260335029679,0.0026200444243202827,7
mmr,1,flanT5Base,contriever,-0.30631873731649006,0.5040270086665882,7
mmr,1,flanT5Small,bm25,-0.6943650748294137,0.08344121885568327,7
mmr,1,flanT5Small,contriever,0.31622776601683794,0.4895897445644275,7
mmr,2,flanT5Base,bm25,0.545544725589981,0.20528150522872618,7
mmr,2,flanT5Base,contriever,0.7748062179181807,0.04076946252042035,7
mmr,2,flanT5Small,bm25,0.10811249552346709,0.8175332656241182,7
mmr,2,flanT5Small,contriever,0.34235623582431246,0.45225122159090614,7
mmr,3,flanT5Base,bm25,-0.28571428571428575,0.5345092286010408,7
mmr,3,flanT5Base,contriever,-0.0727392967453308,0.8768403578473786,7
mmr,3,flanT5Small,bm25,-0.9642857142857145,0.0004541491691941692,7
mmr,3,flanT5Small,contriever,-0.5714285714285715,0.18020198891152753,7
mmr,4,flanT5Base,bm25,0.21428571428571433,0.6445115810207203,7
mmr,4,flanT5Base,contriever,-0.3571428571428572,0.43161135203832796,7
mmr,4,flanT5Small,bm25,-0.28571428571428575,0.5345092286010408,7
mmr,4,flanT5Small,contriever,-0.7142857142857144,0.07134356146753763,7
mmr,5,flanT5Base,bm25,0.6071428571428572,0.14823116148116158,7
mmr,5,flanT5Base,contriever,-0.8214285714285715,0.023448808345691494,7
mmr,5,flanT5Small,bm25,0.7142857142857144,0.07134356146753763,7
mmr,5,flanT5Small,contriever,-0.1785714285714286,0.7016579425162728,7
mmr,6,flanT5Base,bm25,-0.8571428571428573,0.013697326615325611,7
mmr,6,flanT5Base,contriever,-0.39285714285714296,0.3833168704269725,7
mmr,6,flanT5Small,bm25,-0.8928571428571429,0.006807187408935391,7
mmr,6,flanT5Small,contriever,0.0,1.0,7
mmr,7,flanT5Base,bm25,-0.7500000000000002,0.05218140045705777,7
mmr,7,flanT5Base,contriever,-0.3571428571428572,0.43161135203832796,7
mmr,7,flanT5Small,bm25,-0.7142857142857144,0.07134356146753763,7
mmr,7,flanT5Small,contriever,-0.9642857142857145,0.0004541491691941692,7
