lamp_num,generator,ranker,view,bin,n,delta,p,sig
1,flanT5Small,bm25,EE-D interval,"[.0,.2)",102,-0.05784313725490203,0.4950867762056338,
1,flanT5Small,bm25,EE-D interval,"[.2,.4)",1,-0.4176470588235294,,
1,flanT5Small,bm25,EE-D interval,"[.4,.6)",12,0.07679738562091504,0.6355906760316421,
1,flanT5Small,bm25,EE-D interval,"[.6,.8)",27,0.04901960784313725,0.6756291069584339,
1,flanT5Small,bm25,EE-D interval,"[.8,1.0]",62,-0.03001265022137889,0.751103836017213,
1,flanT5Small,bm25,ILD quartile,Q1,51,-0.1901960784313726,0.04352863524111642,*
1,flanT5Small,bm25,ILD quartile,Q2,51,-0.016993464052287577,0.8613679103902078,
1,flanT5Small,bm25,ILD quartile,Q3,51,0.05098039215686273,0.6010238650698118,
1,flanT5Small,bm25,ILD quartile,Q4,51,0.0398692810457516,0.6889651455823557,
1,flanT5Small,contriever,EE-D interval,"[.0,.2)",94,-0.02924488944513981,0.733325084449521,
1,flanT5Small,contriever,EE-D interval,"[.2,.4)",9,-0.20915032679738566,0.22330194908930115,
1,flanT5Small,contriever,EE-D interval,"[.4,.6)",15,-0.19803921568627453,0.1281720255914884,
1,flanT5Small,contriever,EE-D interval,"[.6,.8)",30,0.1669607843137254,0.12647549950910586,
1,flanT5Small,contriever,EE-D interval,"[.8,1.0]",56,-0.01887254901960783,0.8446171618851674,
1,flanT5Small,contriever,ILD quartile,Q1,51,-0.1470588235294118,0.1079534546233289,
1,flanT5Small,contriever,ILD quartile,Q2,51,-0.0784313725490196,0.4149030229695378,
1,flanT5Small,contriever,ILD quartile,Q3,51,0.11176470588235288,0.2576373440369825,
1,flanT5Small,contriever,ILD quartile,Q4,51,0.042156862745098,0.6717293016821898,
1,flanT5Base,bm25,EE-D interval,"[.0,.2)",364,-0.22553997726411512,5.456982210822354e-10,**
1,flanT5Base,bm25,EE-D interval,"[.2,.4)",115,-0.07320839580209892,0.0819601386163358,
1,flanT5Base,bm25,EE-D interval,"[.4,.6)",42,-0.04055829228243024,0.5650499723744716,
1,flanT5Base,bm25,EE-D interval,"[.6,.8)",108,-0.04538633461047259,0.36162127628085017,
1,flanT5Base,bm25,EE-D interval,"[.8,1.0]",299,-0.019830469380694327,0.6209180378763623,
