lamp_num,generator,ranker,quartile,A_cell_pooled,B_dataset_wide,C_query_rank
2,flanT5Base,contriever,Q1,"degenerate (3 bins total, not 4)","n=5, +0.093","n=18, +0.137"
2,flanT5Base,contriever,Q2,"degenerate (3 bins total, not 4)","n=152, -0.011","n=444, +0.008"
2,flanT5Base,contriever,Q3,"degenerate (3 bins total, not 4)","n=494, +0.029","n=723, +0.030"
2,flanT5Base,contriever,Q4,"degenerate (3 bins total, not 4)","n=749, +0.019","n=215, -0.005"
2,flanT5Small,contriever,Q1,"degenerate (3 bins total, not 4)","n=3, -0.375","n=11, -0.102"
2,flanT5Small,contriever,Q2,"degenerate (3 bins total, not 4)","n=88, -0.057","n=184, -0.098*"
2,flanT5Small,contriever,Q3,"degenerate (3 bins total, not 4)","n=239, -0.053","n=452, +0.048"
2,flanT5Small,contriever,Q4,"degenerate (3 bins total, not 4)","n=446, +0.031","n=129, -0.057"
4,flanT5Base,bm25,Q1,"n=1035, +0.003","n=628, +0.022","n=128, +0.001"
4,flanT5Base,bm25,Q2,"n=1034, +0.021","n=1298, +0.014","n=1389, -0.002"
4,flanT5Base,bm25,Q3,"n=1032, -0.006","n=1297, -0.016","n=1850, +0.007"
4,flanT5Base,bm25,Q4,"n=1034, -0.005","n=912, +0.003","n=768, +0.004"
7,flanT5Base,contriever,Q1,"n=265, -0.001","n=81, +0.077*","n=37, +0.066"
7,flanT5Base,contriever,Q2,"n=263, -0.043","n=218, -0.026","n=313, -0.013"
7,flanT5Base,contriever,Q3,"n=263, -0.007","n=266, -0.028","n=504, -0.000"
7,flanT5Base,contriever,Q4,"n=264, +0.035","n=490, +0.005","n=201, -0.012"
