lamp_num,granularity,generator_name,ranker,cutoff_ild_norm,baseline_eu_norm,n,delta_eu_norm,p_value,sig
2,generator_pooled,flanT5Small,,0.9709049553665794,0.20603015075376885,769,-0.05375446804895742,0.02276189063689513,*
2,gen_x_ranker,flanT5Small,contriever,0.9764206622486784,0.24623115577889448,404,-0.07791432409572613,0.02470160914736696,*
3,gen_x_ranker,flanT5Small,contriever,0.9418985810781311,0.8712489862124899,795,0.02316401169107407,0.011111327812542803,*
3,ranker_pooled,,contriever,0.9343090452204317,0.8903884604398743,2685,0.01869285551294997,0.0002992350004770448,**
3,gen_x_ranker,flanT5Base,bm25,0.9259674766299262,0.8919753086419754,1894,0.017026803290442816,0.006966268612258626,**
3,generator_pooled,flanT5Base,,0.9289942494361313,0.8963844797178131,3780,0.014294532627865952,0.0012311964314849569,**
3,ranker_pooled,,bm25,0.9284683505409413,0.8915309911453869,2635,0.014212209360621841,0.00572395896664345,**
4,ranker_pooled,,contriever,0.9653183945074965,0.3380926426320887,6673,0.016582561551283792,0.018108286068663555,*
5,generator_pooled,flanT5Base,,0.9388291651550495,0.5403850417028375,4161,-0.025456246864291487,0.012229415958076128,*
5,gen_x_ranker,flanT5Base,bm25,0.9406068282265669,0.5320787067685984,2081,-0.029501583867363457,0.04125790330111444,*
7,generator_pooled,flanT5Base,,0.9652234602031557,0.6628858378912947,1556,-0.03222516978106338,0.03624393537251885,*
