lamp_num,generator_name,ranker,pl_a1,pl_a2,pl_a4,pl_a8,mmr_l0.3,mmr_l0.45,mmr_l0.55,mmr_l0.7,mmr_l0.85,mmr_l0.9,mmr_l0.95
1,Base,BM25,-0.215**,-0.172**,-0.047,-0.006,-0.034,-0.022,-0.022,-0.009,-0.004,-0.009,+0.000
1,Base,Contr.,-0.144**,-0.087*,+0.022,+0.004,-0.017,-0.013,+0.009,+0.004,+0.000,-0.009,-0.009
1,Small,BM25,-0.059,-0.049,+0.000,+0.000,-0.020,-0.039,-0.039,-0.039,+0.000,+0.000,+0.000
1,Small,Contr.,-0.039,-0.043,+0.008,-0.002,+0.020,+0.000,+0.000,+0.000,+0.020,+0.000,+0.000
2,Base,BM25,+0.036,+0.021,+0.015,+0.005,+0.018,+0.007,-0.011,+0.007,-0.004,-0.007,-0.004
2,Base,Contr.,+0.000,+0.012,+0.039,+0.017,+0.036,+0.025,+0.021,+0.004,+0.011,+0.007,+0.007
2,Small,BM25,+0.017,+0.015,-0.006,-0.003,-0.053,+0.036,+0.016,-0.103,-0.005,-0.005,+0.000
2,Small,Contr.,-0.020,+0.006,+0.000,+0.006,-0.035,+0.016,+0.005,-0.075,+0.010,+0.010,+0.000
3,Base,BM25,+0.005,+0.003,-0.002,-0.000,-0.003,+0.000,-0.002,+0.003,+0.002,-0.000,-0.002
3,Base,Contr.,-0.004,-0.002,+0.002,+0.002,+0.002,+0.002,+0.005,+0.006,+0.006,+0.005,+0.002
3,Small,BM25,-0.030**,-0.023*,-0.008,+0.001,-0.023,-0.018,-0.009,-0.013,-0.002,-0.002,+0.001
3,Small,Contr.,-0.011,-0.004,+0.004,+0.001,-0.023,-0.005,+0.003,-0.006,+0.001,+0.001,+0.002
4,Base,BM25,-0.051**,-0.043**,-0.002,-0.002,+0.004,+0.005,+0.003,+0.005,+0.002,+0.003,+0.004
4,Base,Contr.,-0.105**,-0.087**,+0.001,+0.001,+0.000,-0.010,-0.004,-0.000,-0.003,+0.000,-0.000
4,Small,BM25,-0.027*,-0.016,+0.005,+0.001,-0.082**,+0.009,+0.017,-0.090**,+0.006,+0.003,+0.003
4,Small,Contr.,-0.082**,-0.062**,-0.005,+0.001,-0.024,-0.004,-0.005,-0.034,-0.001,-0.000,-0.000
5,Base,BM25,-0.011,-0.004,+0.012,+0.006,+0.013,+0.006,+0.017,+0.016,+0.009,+0.005,+0.004
5,Base,Contr.,-0.029,-0.025,-0.004,+0.002,-0.010,-0.000,-0.005,+0.008,+0.010,+0.009,+0.008
5,Small,BM25,-0.052**,-0.039*,+0.009,-0.003,+0.041,+0.008,+0.009,+0.066,-0.002,-0.002,-0.003
5,Small,Contr.,-0.064**,-0.052**,-0.005,-0.002,-0.001,-0.016,-0.004,+0.023,-0.012,-0.005,+0.003
6,Base,BM25,-0.078**,-0.063**,-0.021,-0.006,-0.009,-0.009,-0.006,-0.003,-0.004,-0.004,-0.001
6,Base,Contr.,-0.050**,-0.040*,-0.005,-0.000,-0.020,-0.007,+0.004,-0.010,-0.003,-0.008,+0.004
6,Small,BM25,-0.073**,-0.055**,-0.007,-0.002,-0.032,-0.022,-0.009,+0.020,+0.002,+0.004,-0.001
6,Small,Contr.,-0.053**,-0.040*,-0.003,+0.000,-0.057,+0.018,+0.018,-0.046,+0.008,+0.008,-0.002
7,Base,BM25,-0.017,-0.014,-0.014,-0.006,-0.034,-0.025,-0.011,-0.000,-0.010,-0.004,-0.005
7,Base,Contr.,+0.008,+0.000,+0.007,+0.001,+0.004,-0.006,-0.009,-0.008,-0.002,+0.000,+0.005
7,Small,BM25,-0.004,-0.003,+0.006,+0.003,-0.021,-0.026,-0.019,-0.010,-0.010,-0.009,-0.010
7,Small,Contr.,-0.005,-0.005,+0.002,-0.001,-0.045,-0.022,-0.011,-0.022,-0.008,-0.003,-0.002
