lamp_num,generator_name,ranker,det,pl_a1,pl_a2,pl_a4,pl_a8,mmr_l0.15,mmr_l0.3,mmr_l0.45,mmr_l0.55,mmr_l0.7,mmr_l0.85
1,Base,BM25,0.6810344827586207,0.46594827586206894,0.509051724137931,0.634051724137931,0.6749999999999999,0.646551724137931,0.646551724137931,0.6594827586206896,0.6594827586206896,0.6724137931034483,0.6767241379310345
1,Base,Contr.,0.6422413793103449,0.4978448275862069,0.555603448275862,0.664655172413793,0.6461206896551724,0.6379310344827587,0.625,0.6293103448275862,0.6508620689655172,0.646551724137931,0.6422413793103449
1,Small,BM25,0.45098039215686275,0.39215686274509803,0.4019607843137255,0.45098039215686275,0.45098039215686275,0.4117647058823529,0.43137254901960786,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.45098039215686275
1,Small,Contr.,0.43137254901960786,0.39215686274509803,0.38823529411764707,0.4392156862745098,0.4294117647058823,0.43137254901960786,0.45098039215686275,0.43137254901960786,0.43137254901960786,0.43137254901960786,0.45098039215686275
2,Base,BM25,0.3,0.3357142857142857,0.32142857142857145,0.3146428571428571,0.305,0.32142857142857145,0.31785714285714284,0.30714285714285716,0.2892857142857143,0.30714285714285716,0.29642857142857143
2,Base,Contr.,0.30714285714285716,0.30714285714285716,0.3189285714285714,0.3457142857142857,0.3242857142857143,0.3535714285714286,0.34285714285714286,0.33214285714285713,0.32857142857142857,0.3107142857142857,0.31785714285714284
2,Small,BM25,0.3333333333333333,0.35000000000000003,0.34791666666666665,0.32708333333333334,0.3307291666666667,0.29,0.28,0.3697916666666667,0.3489583333333333,0.23,0.328125
2,Small,Contr.,0.375,0.35520833333333335,0.3807291666666666,0.375,0.3807291666666666,0.38,0.34,0.390625,0.3802083333333333,0.3,0.3854166666666667
3,Base,BM25,0.9226190476190477,0.9276675485008817,0.9254629629629629,0.9209876543209876,0.9222442680776014,0.919973544973545,0.919973544973545,0.9228395061728395,0.9204144620811288,0.9252645502645502,0.9243827160493827
3,Base,Contr.,0.9268077601410935,0.9224426807760141,0.9244268077601411,0.9291666666666667,0.9289241622574955,0.9294532627865961,0.9287918871252204,0.9290123456790124,0.9318783068783069,0.9323192239858907,0.9323192239858907
3,Small,BM25,0.9080921757770632,0.8786977491961414,0.8854233654876742,0.9002947481243302,0.9095123258306539,0.8866666666666667,0.8833333333333333,0.889871382636656,0.8987138263665595,0.8933333333333333,0.9059485530546624
3,Small,Contr.,0.8968381564844587,0.8856377277599142,0.8926045016077171,0.9007234726688103,0.8979367631296892,0.8741666666666668,0.8741666666666668,0.8917470525187566,0.9003215434083601,0.8908333333333333,0.8973740621650589
4,Base,BM25,0.29079477818297667,0.23986786906992832,0.24806214742535412,0.28862362174074846,0.28925535703975547,0.2906507429541937,0.29439693740161954,0.2954397824118011,0.2934032546723345,0.2953923379534333,0.2923224825214461
4,Base,Contr.,0.33958725019723374,0.23494866284090377,0.25247111971411856,0.3400930260489442,0.3410579862752723,0.3146412873106029,0.3395910672891936,0.329342329597838,0.33598999939123947,0.3391117937022638,0.3362475001505445
4,Small,BM25,0.29689018987946153,0.2700530817974925,0.28115927627879145,0.3015787533494671,0.2983163628836099,0.1634459655782317,0.21459536733774803,0.30589246517235547,0.314136760527242,0.20639794073293302,0.3025674137454917
4,Small,Contr.,0.32602958640373214,0.24399619169033687,0.26407451293329753,0.32152084825520316,0.3267439798730404,0.2530966103298681,0.3019398049170992,0.322304353630191,0.3211994191620845,0.29187765508929275,0.32507410439647766
5,Base,BM25,0.5311688244650713,0.5196943829027414,0.5271909341250071,0.5434126910714429,0.5370131552773028,0.5389829820367843,0.5441313403279623,0.5374466772875406,0.5482833553921415,0.5476226784855941,0.5402905025720348
5,Base,Contr.,0.550489137884847,0.5217716752876511,0.5251934902389673,0.5467999969377197,0.5523055841006862,0.5475912732510535,0.5407323972034879,0.5504579718386489,0.54573982342073,0.5584461674992157,0.560875079575838
5,Small,BM25,0.4578611318875436,0.40620645098413843,0.41912987674839797,0.4667365962341061,0.4553298622137122,0.5089699802230201,0.49915827964671494,0.46630275778310565,0.4665585937231752,0.5235261693667844,0.4556280776048398
5,Small,Contr.,0.4648746890625483,0.4012295657376638,0.4124452911365534,0.46012278972451637,0.4625534327076892,0.4624436725033874,0.46398527039354137,0.44884915850711354,0.4607098879257876,0.4875381248568413,0.45309237008186193
6,Base,BM25,0.4730873676410714,0.3954503228807658,0.4105242817586211,0.4515896010548404,0.4669372165896865,0.44565186334546986,0.46375173372537515,0.4639169333414608,0.46747418073132535,0.469700933694696,0.46946665207736316
6,Base,Contr.,0.44404708206980276,0.39382732746895405,0.40402331441282463,0.4387045386118863,0.44378893298135846,0.42914224966126724,0.42396398126007795,0.4374978067326699,0.4483710637695137,0.43371516974532104,0.4412402199009131
6,Small,BM25,0.4419841535094201,0.3693537340599019,0.38731185376659844,0.434781378769622,0.4397511923170954,0.4449344511874687,0.4095293776194044,0.420140527897288,0.4325382507303942,0.4618076774397657,0.44387638139046826
6,Small,Contr.,0.4236239482375545,0.37110812859295583,0.38365980363037067,0.42062903180096767,0.42409233073167146,0.334848331690841,0.3667661909090463,0.44114191571123634,0.4416662237396999,0.37712550829882446,0.43179025542564287
7,Base,BM25,0.6749667309671005,0.6579861820530278,0.6613416863251113,0.6610156924650697,0.6688375939301522,0.6257691132096258,0.6406215516305254,0.6502992148864598,0.6644021365594192,0.6745496487732157,0.6645149069245557
7,Base,Contr.,0.6454125289455971,0.6537811303266562,0.645679227904279,0.6527944150176775,0.6462531511148156,0.6428876662236742,0.6496205567130805,0.6393198682586702,0.6366975864799644,0.6378968686874337,0.6435714005650565
7,Small,BM25,0.5353459166422336,0.5314903276594751,0.5318851678768678,0.5409744438943227,0.5386451154902416,0.4936429138128717,0.5143683880930903,0.5095431568887293,0.5161078866298243,0.5258180922157681,0.5253133093946606
7,Small,Contr.,0.5301350060660747,0.5256077495277247,0.5248064452817414,0.5319964622163794,0.5293249147236202,0.48222120600583124,0.4847090150410217,0.5086292409060534,0.5186666046473453,0.5082578849856527,0.5223219047435956
