lamp_num,generator,ranker,chosen_pl_alpha,pl_ee_d_n10,pl_ee_d_n100,randmmr_ee_d_n10,randmmr_ee_d_n100,delta_ee_d_n10,delta_ee_d_n100,randmmr_better_eed_n10,randmmr_better_eed_n100,pl_eu_norm,randmmr_eu_norm,delta_eu_norm,p_value,sig,randmmr_better_eu,n_queries_full_set
1,flanT5Base,bm25,2,0.1928103448275862,0.1148977586206896,0.1857931034482758,0.0992441379310344,-0.007017241379310396,-0.0156536206896552,True,True,0.509051724137931,0.4896551724137931,-0.0193965517241379,0.5323971997508449,,False,232
1,flanT5Base,contriever,2,0.1820862068965517,0.1004346551724138,0.1733620689655172,0.0881927586206896,-0.008724137931034492,-0.012241896551724196,True,True,0.555603448275862,0.507758620689655,-0.047844827586207,0.1229753907191885,,False,232
1,flanT5Small,bm25,2,0.1780392156862745,0.0975035294117647,0.172549019607843,0.0837058823529412,-0.005490196078431514,-0.013797647058823498,True,True,0.4019607843137255,0.3941176470588234,-0.0078431372549021,0.933413733237107,,False,51
1,flanT5Small,contriever,2,0.172235294117647,0.0884015686274509,0.1631372549019608,0.0771850980392156,-0.009098039215686193,-0.0112164705882353,True,True,0.388235294117647,0.4078431372549019,0.0196078431372548,0.8347481565869943,,True,51
2,flanT5Base,bm25,2,0.3784571428571429,0.3156222857142857,0.3562571428571429,0.301653,-0.022199999999999998,-0.013969285714285684,True,True,0.3214285714285714,0.3132142857142856,-0.0082142857142857,0.7835874167852064,,False,280
2,flanT5Base,contriever,2,0.3783285714285714,0.3152692857142857,0.3579428571428572,0.3023365714285715,-0.02038571428571423,-0.012932714285714186,True,True,0.3189285714285714,0.3132142857142858,-0.0057142857142856,0.845175549546955,,False,280
2,flanT5Small,bm25,2,0.33776,0.2918991666666666,0.3377708333333333,0.2768358333333333,1.0833333333293282e-05,-0.015063333333333317,False,True,0.243,0.3510416666666667,0.1080416666666667,0.0171388803147902,*,True,192
2,flanT5Small,contriever,2,0.3568333333333333,0.2905193749999999,0.3383958333333334,0.27683125,-0.018437499999999885,-0.01368812499999994,True,True,0.3807291666666667,0.3692708333333334,-0.0114583333333333,0.783033759805338,,False,192
3,flanT5Base,bm25,2,0.150994708994709,0.0654934391534391,0.1457989417989418,0.0568693121693121,-0.005195767195767198,-0.008624126984126998,True,True,0.9257275132275132,0.9250440917107584,-0.0006834215167548,0.9241231882450084,,False,378
3,flanT5Base,contriever,2,0.1496402116402116,0.0635029629629629,0.1441587301587301,0.054999365079365,-0.005481481481481504,-0.008503597883597898,True,True,0.9243606701940036,0.9228615520282188,-0.0014991181657847,0.8434237937272007,,False,378
