generator,ranker,ee_d_range,n_pl_a1,n_hybrid,pl_a1_eu_norm,hybrid_eu_norm,delta_eu_norm,p_value,sig
flanT5Base,bm25,"[0.031, 0.140]",128,51,0.37812500000000004,0.45588235294117646,0.07775735294117642,0.1675939664850161,
flanT5Base,bm25,"[0.140, 0.164]",142,21,0.4197183098591549,0.46190476190476193,0.042186452045607004,0.612270672209365,
flanT5Base,bm25,"[0.164, 0.192]",151,23,0.5298013245033113,0.5139130434782608,-0.015888281025050466,0.8261154319894571,
flanT5Base,bm25,"[0.192, 0.487]",35,133,0.6,0.6255639097744362,0.025563909774436233,0.6745491843156862,
flanT5Base,contriever,"[0.029, 0.129]",70,101,0.33571428571428574,0.4638613861386139,0.12814710042432814,0.012452443351898967,*
flanT5Base,contriever,"[0.129, 0.156]",144,33,0.4583333333333333,0.5203030303030304,0.06196969696969706,0.26184071125172914,
flanT5Base,contriever,"[0.156, 0.180]",154,22,0.4727272727272727,0.6327272727272727,0.15999999999999998,0.01241027375099162,*
flanT5Base,contriever,"[0.180, 0.298]",88,72,0.5556818181818183,0.6331944444444445,0.07751262626262623,0.13114598537161645,
flanT5Small,bm25,"[0.051, 0.084]",15,1,0.09333333333333335,0.01,-0.08333333333333336,,
flanT5Small,bm25,"[0.084, 0.112]",10,5,0.14333333333333337,0.076,-0.06733333333333337,0.49715249762895963,
flanT5Small,bm25,"[0.112, 0.166]",6,9,0.011111111111111112,0.17333333333333334,0.16222222222222224,0.19103203778962896,
flanT5Small,contriever,"[0.036, 0.124]",8,17,0.175,0.10882352941176472,-0.06617647058823527,0.6317870390112565,
flanT5Small,contriever,"[0.124, 0.148]",23,5,0.008695652173913044,0.316,0.30730434782608695,0.16447419972376578,
flanT5Small,contriever,"[0.172, 0.232]",13,9,0.007692307692307693,0.026666666666666665,0.018974358974358972,0.10735798797151096,
