lamp_num,generator_name,ranker,mmr_setting,mmr_delta,n_pl_beaten
1,flanT5Base,bm25,mmr_l0.3,-0.03448275862068961,3
1,flanT5Base,bm25,mmr_l0.45,-0.02155172413793105,3
1,flanT5Base,bm25,mmr_l0.55,-0.02155172413793105,3
1,flanT5Base,bm25,mmr_l0.7,-0.008620689655172376,3
1,flanT5Base,bm25,mmr_l0.85,-0.004310344827586188,4
1,flanT5Base,contriever,mmr_l0.3,-0.017241379310344862,2
1,flanT5Base,contriever,mmr_l0.45,-0.012931034482758674,2
1,flanT5Base,contriever,mmr_l0.55,0.008620689655172376,3
1,flanT5Base,contriever,mmr_l0.7,0.004310344827586188,3
1,flanT5Base,contriever,mmr_l0.85,0.0,2
1,flanT5Small,bm25,mmr_l0.3,-0.019607843137254888,2
1,flanT5Small,bm25,mmr_l0.45,-0.03921568627450983,2
1,flanT5Small,bm25,mmr_l0.55,-0.03921568627450983,2
1,flanT5Small,bm25,mmr_l0.7,-0.03921568627450983,2
1,flanT5Small,bm25,mmr_l0.85,0.0,2
1,flanT5Small,contriever,mmr_l0.3,0.019607843137254888,4
1,flanT5Small,contriever,mmr_l0.45,0.0,3
1,flanT5Small,contriever,mmr_l0.55,0.0,3
1,flanT5Small,contriever,mmr_l0.7,0.0,3
1,flanT5Small,contriever,mmr_l0.85,0.019607843137254888,4
2,flanT5Base,bm25,mmr_l0.3,0.01785714285714285,2
2,flanT5Base,bm25,mmr_l0.45,0.007142857142857173,1
2,flanT5Base,bm25,mmr_l0.55,-0.010714285714285676,0
2,flanT5Base,bm25,mmr_l0.7,0.007142857142857173,1
2,flanT5Base,bm25,mmr_l0.85,-0.0035714285714285587,0
2,flanT5Base,contriever,mmr_l0.3,0.0357142857142857,3
2,flanT5Base,contriever,mmr_l0.45,0.024999999999999967,3
2,flanT5Base,contriever,mmr_l0.55,0.021428571428571408,3
2,flanT5Base,contriever,mmr_l0.7,0.0035714285714285587,1
2,flanT5Base,contriever,mmr_l0.85,0.010714285714285676,1
2,flanT5Small,bm25,mmr_l0.3,-0.05333333333333329,0
2,flanT5Small,bm25,mmr_l0.45,0.03645833333333337,4
2,flanT5Small,bm25,mmr_l0.55,0.015625,3
2,flanT5Small,bm25,mmr_l0.7,-0.1033333333333333,0
2,flanT5Small,bm25,mmr_l0.85,-0.005208333333333315,1
2,flanT5Small,contriever,mmr_l0.3,-0.034999999999999976,0
2,flanT5Small,contriever,mmr_l0.45,0.015625,4
2,flanT5Small,contriever,mmr_l0.55,0.005208333333333315,2
2,flanT5Small,contriever,mmr_l0.7,-0.07500000000000001,0
2,flanT5Small,contriever,mmr_l0.85,0.010416666666666685,4
3,flanT5Base,bm25,mmr_l0.3,-0.002645502645502673,0
3,flanT5Base,bm25,mmr_l0.45,0.00022045855379182466,2
3,flanT5Base,bm25,mmr_l0.55,-0.0022045855379189128,0
3,flanT5Base,bm25,mmr_l0.7,0.002645502645502562,2
3,flanT5Base,bm25,mmr_l0.85,0.0017636684303350414,2
3,flanT5Base,contriever,mmr_l0.3,0.001984126984126977,2
3,flanT5Base,contriever,mmr_l0.45,0.0022045855379189128,3
3,flanT5Base,contriever,mmr_l0.55,0.0050705467372134105,4
3,flanT5Base,contriever,mmr_l0.7,0.005511463844797282,4
