task,gen,ranker,n,base_det,mean_ild_l09,mean_ild_l085,delta_eu,p,stars
LaMP-1,Base,BM25,232,0.6810344827586207,0.9671365204050912,0.9693482301147573,-0.008620689655172376,0.8430630610084172,
LaMP-1,Base,Contr.,232,0.6422413793103449,0.9637474342318304,0.9670093290626873,-0.008620689655172487,0.847213906557339,
LaMP-1,Small,BM25,51,0.45098039215686275,0.9644271604302597,0.9694748647925797,0.0,1.0,
LaMP-1,Small,Contr.,51,0.43137254901960786,0.9595895654914793,0.9636723488178979,0.0,1.0,
LaMP-2,Base,BM25,280,0.3,0.9765308405338264,0.9765942447281867,-0.0071428571428571175,0.8535010033777789,
LaMP-2,Base,Contr.,280,0.30714285714285716,0.9876612983772256,0.9879224602825709,0.0071428571428571175,0.8554118364731255,
LaMP-2,Small,BM25,192,0.3333333333333333,0.9780327699944461,0.9781975927159543,-0.005208333333333315,0.9139051794167192,
LaMP-2,Small,Contr.,192,0.375,0.9888457606360217,0.9890740446452139,0.010416666666666685,0.8340048303523216,
LaMP-3,Base,BM25,378,0.9226190476190477,0.9152551127597557,0.9207810054602499,-0.00044091710758387137,0.964356504760644,
LaMP-3,Base,Contr.,378,0.9268077601410936,0.9218729187652724,0.9268408947122235,0.0050705467372132995,0.5927576836529248,
LaMP-3,Small,BM25,311,0.9064844587352626,0.9329738828496996,0.9365912407864464,-0.001607717041800627,0.8867307252686294,
LaMP-3,Small,Contr.,311,0.8968381564844587,0.9384521106180685,0.9432391074510118,0.000803858520900147,0.9458781902395077,
LaMP-4,Base,BM25,827,0.29079477818297667,0.9588009005572727,0.9599595335056004,0.0027343823662560607,0.8515833971531621,
LaMP-4,Base,Contr.,827,0.3395872501972337,0.9627097795930901,0.9646459308842233,0.0003478217644438675,0.9820420361211717,
LaMP-4,Small,BM25,833,0.2968901898794616,0.9619723628281291,0.9630961155448866,0.0033376869972254197,0.8232061271615428,
LaMP-4,Small,Contr.,833,0.3260295864037321,0.9658913103373875,0.9678181184092604,-0.0003520975591985165,0.9803548542487354,
LaMP-5,Base,BM25,759,0.5310724203309488,0.9517163253120251,0.9536009257404154,0.005005403453407387,0.7891031163262544,
LaMP-5,Base,Contr.,759,0.550489137884847,0.9480725388037128,0.950912559941362,0.008883671401281434,0.6346133842853566,
LaMP-5,Small,BM25,826,0.4578611318875435,0.9530054296860905,0.9550615093613806,-0.00169364218445206,0.9239176003779743,
LaMP-5,Small,Contr.,826,0.4648746890625483,0.9499210990223218,0.9524969121127994,-0.00466904081100028,0.7910946883176544,
LaMP-6,Small,BM25,760,0.44198415350942005,0.80394502929358,0.810563306687788,0.003691451669712187,0.8535838220862589,
LaMP-6,Small,Contr.,760,0.4236239482375545,0.814658215289137,0.8234739885581978,0.007804728248958892,0.6897528259342721,
