lamp_num,generator,ranker,n_completed,n_used_in_norm,baseline_no_gold,baseline_with_gold,paper_value
1,flan-T5-base,BM25,232,223,0.6951,0.6858,0.67
1,flan-T5-base,Contriever,232,223,0.6413,0.6327,0.637
1,flan-T5-small,BM25,51,25,0.24,0.2222,0.308
1,flan-T5-small,Contriever,51,25,0.2,0.1852,0.286
2,flan-T5-base,BM25,280,231,0.1948,0.194,
2,flan-T5-base,Contriever,280,231,0.2251,0.2241,
2,flan-T5-small,BM25,100,80,0.125,0.119,
2,flan-T5-small,Contriever,100,80,0.2125,0.2024,
3,flan-T5-base,BM25,378,378,0.8926,0.8882,
3,flan-T5-base,Contriever,378,378,0.9015,0.897,
3,flan-T5-small,BM25,100,100,0.8983,0.8958,
3,flan-T5-small,Contriever,100,100,0.8617,0.8592,
4,flan-T5-base,BM25,827,825,0.3041,0.3014,0.223
4,flan-T5-base,Contriever,827,825,0.3611,0.3568,0.268
4,flan-T5-small,BM25,100,100,0.2035,0.2035,0.217
4,flan-T5-small,Contriever,100,100,0.3054,0.3049,0.254
5,flan-T5-small,BM25,100,98,0.5435,0.5388,
5,flan-T5-small,Contriever,100,98,0.5106,0.5074,
6,flan-T5-small,BM25,100,99,0.4282,0.4265,
6,flan-T5-small,Contriever,100,99,0.3594,0.3583,
7,flan-T5-small,BM25,100,100,0.5272,0.5205,
7,flan-T5-small,Contriever,100,100,0.5253,0.5249,
