lamp_num,generator,ranker,n_queries,baseline_norm_eu,paper_value,delta_vs_paper,rel_pct_vs_paper
1,flan-T5-base,BM25,223,0.6951,0.67,0.0251,3.7
1,flan-T5-base,Contriever,223,0.6413,0.637,0.0043,0.7
1,flan-T5-small,BM25,25,0.24,0.308,-0.068,-22.1
1,flan-T5-small,Contriever,25,0.2,0.286,-0.086,-30.1
2,flan-T5-base,BM25,231,0.1948,,,
2,flan-T5-base,Contriever,231,0.2251,,,
2,flan-T5-small,BM25,80,0.125,,,
2,flan-T5-small,Contriever,80,0.2125,,,
3,flan-T5-base,BM25,378,0.8926,,,
3,flan-T5-base,Contriever,378,0.9015,,,
3,flan-T5-small,BM25,100,0.8983,,,
3,flan-T5-small,Contriever,100,0.8617,,,
4,flan-T5-base,BM25,825,0.3041,0.223,0.0811,36.3
4,flan-T5-base,Contriever,825,0.3611,0.268,0.0931,34.7
4,flan-T5-small,BM25,100,0.2035,0.217,-0.0135,-6.2
4,flan-T5-small,Contriever,100,0.3054,0.254,0.0514,20.2
5,flan-T5-small,BM25,98,0.5435,,,
5,flan-T5-small,Contriever,98,0.5106,,,
6,flan-T5-small,BM25,99,0.4282,,,
6,flan-T5-small,Contriever,99,0.3594,,,
7,flan-T5-small,BM25,100,0.5272,,,
7,flan-T5-small,Contriever,100,0.5253,,,
