lamp_num,generator,ranker,old_alpha_n10,new_alpha_n100,changed,randmmr_ee_d_n100,pl_a1_ee_d_n100,pl_a2_ee_d_n100,pl_a4_ee_d_n100,pl_a8_ee_d_n100
1,flanT5Base,bm25,2,2,False,0.0992441379310344,0.07286551724137932,0.11489775862068967,0.681515172413793,0.9652222413793103
1,flanT5Base,contriever,2,2,False,0.0881927586206896,0.07285637931034483,0.1004346551724138,0.6569755172413794,0.9820256896551725
1,flanT5Small,bm25,2,2,False,0.0837058823529412,0.06387607843137255,0.09750352941176471,0.6705639215686275,0.9592854901960783
1,flanT5Small,contriever,2,2,False,0.0771850980392156,0.06413411764705881,0.08840156862745097,0.6347262745098039,0.9793011764705881
2,flanT5Base,bm25,2,2,False,0.301653,0.2504467142857143,0.3156222857142857,0.7360674285714286,0.9698304285714286
2,flanT5Base,contriever,2,2,False,0.3023365714285715,0.250228,0.31526928571428575,0.7334861428571429,0.9731882857142856
2,flanT5Small,bm25,2,2,False,0.2768358333333333,0.23058,0.29189916666666665,0.718294375,0.9707977083333335
2,flanT5Small,contriever,2,2,False,0.27683125,0.23060229166666665,0.29051937499999997,0.72501625,0.9706808333333333
3,flanT5Base,bm25,2,2,False,0.0568693121693121,0.04513227513227514,0.06549343915343915,0.5295721693121693,0.8803933333333334
3,flanT5Base,contriever,2,2,False,0.054999365079365,0.045091428571428574,0.06350296296296297,0.5595592592592593,0.9371191534391534
3,flanT5Small,bm25,2,2,False,0.0545628295819935,0.044308810289389065,0.062427009646302246,0.5128416720257235,0.8904312540192927
3,flanT5Small,contriever,2,2,False,0.0541133118971061,0.04436334405144695,0.062145209003215435,0.5555095819935691,0.9378708681672024
4,flanT5Base,bm25,2,2,False,0.1742655864570737,0.13229243047158404,0.182719661426844,0.683521837968561,0.9563820072551391
4,flanT5Base,contriever,2,2,False,0.1625027327690447,0.1318472067714631,0.1725754776299879,0.6548184764207982,0.974914437726723
4,flanT5Small,bm25,2,2,False,0.1685506842737094,0.12829200480192077,0.1772353421368547,0.6803989915966387,0.9551528451380553
4,flanT5Small,contriever,2,2,False,0.156698775510204,0.12785939975990399,0.16687927971188476,0.6532886914765906,0.9758899399759905
5,flanT5Base,bm25,2,2,False,0.0887077206851119,0.07189001317523057,0.10250682476943347,0.5501013965744401,0.8977563109354415
5,flanT5Base,contriever,2,2,False,0.0918928590250329,0.07257702239789196,0.1059671673254282,0.631384347826087,0.9616068511198946
5,flanT5Small,bm25,2,2,False,0.0891399031476997,0.07216847457627118,0.10315757869249394,0.548858014527845,0.900532784503632
5,flanT5Small,contriever,2,2,False,0.0926813559322033,0.07288474576271187,0.10685719128329298,0.6333868280871672,0.9628479418886199
6,flanT5Base,bm25,2,2,False,0.1486090932311622,0.11626329501915708,0.16378687100893996,0.5810929246487867,0.8948304469987228
6,flanT5Base,contriever,2,2,False,0.1442250830140485,0.1166311111111111,0.15798773946360153,0.5941030395913155,0.962323882503193
6,flanT5Small,bm25,2,2,False,0.1475757368421052,0.11591557894736844,0.16301305263157895,0.5846234210526317,0.9017115263157895
6,flanT5Small,contriever,2,2,False,0.1435235789473684,0.11632157894736843,0.15716847368421052,0.5967322105263158,0.9633543157894736
7,flanT5Base,bm25,2,2,False,0.4682261611374407,0.345179336492891,0.4650125118483412,0.7527120379146921,0.8998847393364928
7,flanT5Base,contriever,2,2,False,0.42344,0.34026009478672986,0.4372798104265403,0.7578864454976303,0.9556818957345973
7,flanT5Small,bm25,2,2,False,0.5018135890410959,0.38362016438356167,0.5007239452054794,0.7602770410958904,0.9130825205479451
7,flanT5Small,contriever,2,2,False,0.4655844383561644,0.3791579178082193,0.478833095890411,0.7832678356164382,0.960362301369863
