ranker,lamp_num,slope,AUC,n_points
BM25,1,0.24869386819190561,0.3034731517749988,6
BM25,2,0.20149293183382885,0.31678210450562994,6
BM25,3,0.08636727378196496,0.4327967702987898,6
BM25,4,0.12953158748926208,0.35461610218519757,6
BM25,5,0.16901257122631858,0.31993334599934364,6
BM25,6,0.08952173845747059,0.38396899120004674,5
BM25,7,0.08739398044970931,0.3671352828230765,5
Contriever,1,0.3752160197381491,0.2885149526662422,6
Contriever,2,0.21336531936257994,0.30058711835523666,5
Contriever,3,0.0046099452999292445,0.43777519139520804,6
Contriever,4,0.1660994995989175,0.3804416757501515,6
Contriever,5,0.20220351366612543,0.3149834578532267,6
Contriever,6,0.10238454219536451,0.3805002818550984,5
Contriever,7,0.15350701172466358,0.36442699382986066,5
