method,bin,n_baseline,n_comparison,delta,lamp_num,ranker,generator,p_value,sig
pl,"[.0,.2)",232,347,-0.22426214846467252,1,bm25,flanT5Base,8.352916982772706e-10,True
pl,"[.2,.4)",232,131,-0.0955382995525138,1,bm25,flanT5Base,0.021497595419978387,True
pl,"[.4,.6)",232,43,-0.04382518043303929,1,bm25,flanT5Base,0.5267446409591229,False
pl,"[.6,.8)",232,107,-0.048791492104415024,1,bm25,flanT5Base,0.32846251566673873,False
pl,"[.8,1.0]",232,300,-0.018701149425287333,1,bm25,flanT5Base,0.6406059955851027,False
pl,"[.0,.2)",51,102,-0.05784313725490203,1,bm25,flanT5Small,0.4950867762056338,False
pl,"[.2,.4)",51,1,-0.4176470588235294,1,bm25,flanT5Small,,False
pl,"[.4,.6)",51,12,0.07679738562091504,1,bm25,flanT5Small,0.6355906760316421,False
pl,"[.6,.8)",51,27,0.04901960784313725,1,bm25,flanT5Small,0.6756291069584339,False
pl,"[.8,1.0]",51,62,-0.03001265022137889,1,bm25,flanT5Small,0.751103836017213,False
pl,"[.0,.2)",232,373,-0.14438615142830735,1,contriever,flanT5Base,7.682195248247339e-05,True
pl,"[.2,.4)",232,93,0.0056080830552465155,1,contriever,flanT5Base,0.9001802502721422,False
pl,"[.4,.6)",232,65,-0.06301061007957565,1,contriever,flanT5Base,0.2920730256667779,False
pl,"[.6,.8)",232,135,0.05146232439335885,1,contriever,flanT5Base,0.26607089510543835,False
pl,"[.8,1.0]",232,262,0.008712819162937646,1,contriever,flanT5Base,0.837975815343086,False
pl,"[.0,.2)",51,91,-0.026976944624003518,1,contriever,flanT5Small,0.7545797713909301,False
pl,"[.2,.4)",51,12,-0.18137254901960786,1,contriever,flanT5Small,0.23674236402485657,False
pl,"[.4,.6)",51,14,-0.18137254901960786,1,contriever,flanT5Small,0.18074837968119198,False
pl,"[.6,.8)",51,30,0.1669607843137254,1,contriever,flanT5Small,0.12647549950910586,False
pl,"[.8,1.0]",51,57,-0.026109391124870984,1,contriever,flanT5Small,0.7851646889729251,False
pl,"[.0,.2)",827,1040,-0.07994185107143714,4,bm25,flanT5Base,7.189355206147585e-13,True
pl,"[.2,.4)",827,380,-0.018598490934525702,4,bm25,flanT5Base,0.1714127230952531,False
pl,"[.4,.6)",827,348,0.022102238960587772,4,bm25,flanT5Base,0.15411501943458578,False
pl,"[.6,.8)",827,484,0.00367562968935925,4,bm25,flanT5Base,0.8106682824923777,False
pl,"[.8,1.0]",827,1056,0.00020007633074670128,4,bm25,flanT5Base,0.9880349136821229,False
pl,"[.0,.2)",833,142,-0.11470310747867116,4,bm25,flanT5Small,1.2476829990166447e-14,True
pl,"[.2,.4)",833,47,-0.022813674334409006,4,bm25,flanT5Small,0.3865623304012461,False
pl,"[.4,.6)",833,34,-0.007820325401436956,4,bm25,flanT5Small,0.7993386311429517,False
pl,"[.6,.8)",833,71,-0.0497590170633031,4,bm25,flanT5Small,0.05459372326886227,False
pl,"[.8,1.0]",833,839,-0.004786656332497807,4,bm25,flanT5Small,0.7415157173223872,False
pl,"[.0,.2)",827,1080,-0.13016128206089664,4,contriever,flanT5Base,7.726631767112586e-28,True
pl,"[.2,.4)",827,337,-0.04181222878029972,4,contriever,flanT5Base,0.004375894272742694,True
pl,"[.4,.6)",827,403,0.00010822270899135678,4,contriever,flanT5Base,0.9945668694482163,False
pl,"[.6,.8)",827,463,-0.010412775993380086,4,contriever,flanT5Base,0.5111654931965169,False
pl,"[.8,1.0]",827,1025,0.002434957044509467,4,contriever,flanT5Base,0.8648356550784367,False
pl,"[.0,.2)",833,1110,-0.1030667909996302,4,contriever,flanT5Small,1.9343945346080276e-20,True
pl,"[.2,.4)",833,335,-0.04278886889932698,4,contriever,flanT5Small,0.0015794536947604594,True
pl,"[.4,.6)",833,400,-0.013306002002843265,4,contriever,flanT5Small,0.34216200062584506,False
pl,"[.6,.8)",833,450,0.019116479316988677,4,contriever,flanT5Small,0.18602137280423026,False
pl,"[.8,1.0]",833,1037,0.002271273948346697,4,contriever,flanT5Small,0.8627517457181423,False
