lamp_num,gen,ranker,bin,n_obs,n_unique_qids,delta,p
1,flanT5Small,bm25,"[.0,.2)",68,34,-0.08676470588235294,0.2356847586768431
1,flanT5Small,bm25,"[.2,.4)",1,1,-0.1431372549019608,
1,flanT5Small,bm25,"[.4,.6)",7,7,0.014005602240896392,0.9282762542663534
1,flanT5Small,bm25,"[.6,.8)",17,16,0.02941176470588233,0.7905229042198559
1,flanT5Small,bm25,"[.8,1.0]",43,33,-0.011354309165526683,0.8967544574905897
1,flanT5Small,contriever,"[.0,.2)",60,34,-0.050392156862745105,0.47366151123092237
1,flanT5Small,contriever,"[.2,.4)",9,9,-0.14705882352941177,0.0229634574964241
1,flanT5Small,contriever,"[.4,.6)",11,11,-0.10160427807486631,0.15069246188022334
1,flanT5Small,contriever,"[.6,.8)",17,17,0.1441176470588235,0.1928147718712827
1,flanT5Small,contriever,"[.8,1.0]",39,34,-0.01628959276018102,0.8418409258107731
1,flanT5Base,bm25,"[.0,.2)",341,213,-0.22964181895017227,4.4023698776487884e-10
1,flanT5Base,bm25,"[.2,.4)",131,108,-0.09135971199039972,0.02872233493578042
1,flanT5Base,bm25,"[.4,.6)",42,42,-0.048284466625078015,0.4914561163079294
1,flanT5Base,bm25,"[.6,.8)",106,104,-0.04808231029084631,0.33900828198241695
1,flanT5Base,bm25,"[.8,1.0]",296,225,-0.019085624926236333,0.6370676007426908
1,flanT5Base,contriever,"[.0,.2)",363,213,-0.1487213242643653,5.9485384927971934e-05
1,flanT5Base,contriever,"[.2,.4)",91,77,0.007366527278031665,0.8707873245986494
1,flanT5Base,contriever,"[.4,.6)",63,63,-0.06687034695884253,0.27101659991146415
1,flanT5Base,contriever,"[.6,.8)",132,132,0.05399906141056576,0.2513297865976708
1,flanT5Base,contriever,"[.8,1.0]",255,225,0.008629186187749549,0.8424936959021211
4,flanT5Small,bm25,"[.0,.2)",142,71,-0.11385802357227628,1.7946267865129412e-14
4,flanT5Small,bm25,"[.2,.4)",47,31,-0.021968590428014134,0.4041480687412236
4,flanT5Small,bm25,"[.4,.6)",34,31,-0.006975241495042084,0.8205756825829833
4,flanT5Small,bm25,"[.6,.8)",71,70,-0.04891393315690823,0.05867199141094786
4,flanT5Small,bm25,"[.8,1.0]",838,810,-0.004786317612801072,0.7409833903719032
4,flanT5Small,contriever,"[.0,.2)",1110,570,-0.1030667909996302,1.9343945346080276e-20
4,flanT5Small,contriever,"[.2,.4)",335,217,-0.04278886889932698,0.0015794536947604594
4,flanT5Small,contriever,"[.4,.6)",400,352,-0.013306002002843265,0.34216200062584506
4,flanT5Small,contriever,"[.6,.8)",450,409,0.019116479316988677,0.18602137280423026
4,flanT5Small,contriever,"[.8,1.0]",1037,827,0.002271273948346697,0.8627517457181423
4,flanT5Base,bm25,"[.0,.2)",1040,556,-0.07908324910797826,1.1239904424276211e-12
4,flanT5Base,bm25,"[.2,.4)",379,265,-0.019660215389936342,0.1441081009466368
4,flanT5Base,bm25,"[.4,.6)",347,281,0.020980717054143394,0.17278872405853404
4,flanT5Base,bm25,"[.6,.8)",484,443,0.0045342316528181326,0.7673621024858043
4,flanT5Base,bm25,"[.8,1.0]",1054,804,-0.0002866825131687123,0.9828023758502688
4,flanT5Base,contriever,"[.0,.2)",1080,555,-0.12936175088680127,1.3398530572737611e-27
4,flanT5Base,contriever,"[.2,.4)",336,218,-0.04310265289960635,0.003014206063925236
4,flanT5Base,contriever,"[.4,.6)",402,351,-0.0007347946917734549,0.9629475885747405
4,flanT5Base,contriever,"[.6,.8)",463,421,-0.009613244819284716,0.5438437319721372
4,flanT5Base,contriever,"[.8,1.0]",1023,820,0.0019481191223033045,0.8914489323586755
