lamp_num,generator_name,ranker,n_mmr_in_pl_range,mmr_beats_pl_curve_in_range,best_pl_delta_eu,best_mmr_delta_eu,best_mmr_beats_best_pl
1,flanT5Base,bm25,4,True,-0.0060344827586207295,-0.004310344827586188,True
1,flanT5Base,contriever,4,True,0.022413793103448154,0.008620689655172376,False
1,flanT5Small,bm25,4,False,0.0,0.0,False
1,flanT5Small,contriever,4,True,0.007843137254901933,0.019607843137254888,True
2,flanT5Base,bm25,5,False,0.0357142857142857,0.01785714285714285,False
2,flanT5Base,contriever,3,False,0.038571428571428534,0.0357142857142857,False
2,flanT5Small,bm25,4,False,0.01666666666666672,0.03645833333333337,True
2,flanT5Small,contriever,3,False,0.0057291666666666186,0.015625,True
3,flanT5Base,bm25,4,False,0.0050485008818340615,0.002645502645502562,False
3,flanT5Base,contriever,4,True,0.0023589065255732455,0.005511463844797282,True
3,flanT5Small,bm25,5,False,0.0012593783494104782,-0.002143622722400873,False
3,flanT5Small,contriever,4,False,0.003885316184351506,0.003483386923901377,False
4,flanT5Base,bm25,5,True,-0.001539421143221198,0.004645004228824412,True
4,flanT5Base,contriever,4,True,0.0014707360780385481,3.817091959845698e-06,False
4,flanT5Small,bm25,5,False,0.004688563470005569,0.017246570647780457,True
4,flanT5Small,contriever,4,False,0.0007143934693082388,-0.0009554820072544823,False
5,flanT5Base,bm25,5,True,0.012274871607596438,0.01713691690708108,True
5,flanT5Base,contriever,5,True,0.001816446215839207,0.010385941690991052,True
5,flanT5Small,bm25,5,False,0.0088754643465625,0.0656650374792408,True
5,flanT5Small,contriever,5,False,-0.0023212563548590803,0.022663435794292974,True
6,flanT5Base,bm25,3,True,-0.006150151051384889,-0.003386433946375389,True
6,flanT5Base,contriever,3,True,-0.00026070976851383376,0.004325217890118305,True
6,flanT5Small,bm25,3,True,-0.0022329611923246895,0.019823523930345588,True
6,flanT5Small,contriever,3,False,0.000468382494116959,0.018042275502145377,True
7,flanT5Base,bm25,2,True,-0.006099609843868037,-0.00041708219388481016,True
7,flanT5Base,contriever,3,False,0.008448174601254355,0.004277218633148117,False
7,flanT5Small,bm25,3,False,0.005628527252089066,-0.009527824426465492,False
7,flanT5Small,contriever,3,False,0.0018614561503047522,-0.007813101322479032,False
