lamp_num,method,n_q1,eu_q1,eu_det,delta,p,sig
1,pl,453,0.5642384105960265,0.6219081272084805,-0.057669716612454014,0.0520228515228853,
1,mmr,567,0.599647266313933,0.6219081272084805,-0.022260860894547596,0.4426930746859675,
2,pl,756,0.30674603174603177,0.3241525423728814,-0.017406510626849614,0.4199295745787853,
2,mmr,872,0.2958715596330275,0.3241525423728814,-0.028280982739853855,0.19293910946170628,
3,pl,1103,0.9224236929585977,0.9146710208030964,0.00775267215550135,0.15308922945115133,
3,mmr,1210,0.9205234159779616,0.9146710208030964,0.005852395174865244,0.2920728326563981,
4,pl,2656,0.3047154126168794,0.31331870816696816,-0.008603295550088763,0.23280540852638265,
4,mmr,2738,0.32519995740570345,0.31331870816696816,0.011881249238735292,0.12790302054086017,
5,pl,2536,0.4974257520234149,0.49941898470926305,-0.0019932326858481675,0.8259461345571688,
5,mmr,2594,0.505377315166338,0.49941898470926305,0.005958330457074945,0.5237739656896216,
6,pl,2470,0.4259295103393626,0.4458776511507826,-0.01994814081141999,0.030617499408412418,*
6,mmr,2558,0.48456683112431415,0.4458776511507826,0.03868917997353155,0.00010516249811979219,**
7,pl,922,0.5972786989920983,0.5794275699914164,0.017851129000681865,0.17401195762765764,
7,mmr,940,0.5993207674824134,0.5794275699914164,0.01989319749099694,0.16225510622793432,
