lamp_num,generator_name,ranker,method,baseline_eu_norm,n_baseline,Q1 (least diverse)_lo,Q1 (least diverse)_hi,Q1 (least diverse)_delta,Q1 (least diverse)_n,Q1 (least diverse)_sig,Q2_lo,Q2_hi,Q2_delta,Q2_n,Q2_sig,Q3_lo,Q3_hi,Q3_delta,Q3_n,Q3_sig,Q4 (most diverse)_lo,Q4 (most diverse)_hi,Q4 (most diverse)_delta,Q4 (most diverse)_n,Q4 (most diverse)_sig,bin 1/3_lo,bin 1/3_hi,bin 1/3_delta,bin 1/3_n,bin 1/3_sig,bin 2/3_lo,bin 2/3_hi,bin 2/3_delta,bin 2/3_n,bin 2/3_sig,bin 3/3_lo,bin 3/3_hi,bin 3/3_delta,bin 3/3_n,bin 3/3_sig
1,flanT5Base,bm25,pl,0.6810344827586207,232,0.7331072685613105,0.9668507401235535,-0.07112068965517238,232.0,,0.9668507401235535,0.9803912190504138,-0.08318965517241383,232.0,*,0.9803912190504138,0.9902922329725488,-0.12112068965517253,232.0,**,0.9902922329725488,1.0,-0.16465517241379313,232.0,**,,,,,,,,,,,,,,,
1,flanT5Base,bm25,mmr,0.6810344827586207,232,0.7348694304123705,0.9697952161117517,0.052753913145816234,293.0,,0.9697952161117517,0.9835766004490852,-0.0386733716475095,288.0,,0.9835766004490852,0.9949017245849627,0.0017241379310345417,290.0,,0.9949017245849627,1.0,-0.0893389810285169,289.0,*,,,,,,,,,,,,,,,
1,flanT5Base,contriever,pl,0.6422413793103449,232,0.8107823401863673,0.9627995438450937,-0.042241379310344884,232.0,,0.9627995438450937,0.9774502816458304,-0.06077586206896568,232.0,,0.9774502816458304,0.9880073725440863,-0.020689655172413834,232.0,,0.9880073725440863,1.0,-0.0810344827586208,232.0,*,,,,,,,,,,,,,,,
1,flanT5Base,contriever,mmr,0.6422413793103449,232,0.8488435222559756,0.9693382236581136,-0.006502547695224625,291.0,,0.9693382236581136,0.9824080902528992,0.019827586206896508,290.0,,0.9824080902528992,0.9928822848729093,0.06710118124328834,289.0,,0.9928822848729093,1.0,-0.09396551724137936,290.0,*,,,,,,,,,,,,,,,
1,flanT5Small,bm25,pl,0.45098039215686275,51,0.7490016787745377,0.962233383816282,-0.1352941176470588,51.0,,0.962233383816282,0.979725470305863,0.05098039215686273,51.0,,0.979725470305863,0.9904206135601306,0.04705882352941171,51.0,,0.9904206135601306,1.0,-0.07058823529411762,51.0,,,,,,,,,,,,,,,,
1,flanT5Small,bm25,mmr,0.45098039215686275,51,0.9024312373668361,0.9623450936171656,-0.14328808446455504,65.0,,0.9623450936171656,0.9838855146838543,0.0887021475256769,63.0,,0.9838855146838543,0.9967734705825971,0.0021446078431372473,64.0,,0.9967734705825971,1.0,-0.05415499533146595,63.0,,,,,,,,,,,,,,,,
1,flanT5Small,contriever,pl,0.43137254901960786,51,0.8107823401863673,0.9617070343203873,-0.0431372549019608,51.0,,0.9617070343203873,0.9740868139918295,-0.047058823529411764,51.0,,0.9740868139918295,0.9867959825146472,-0.021568627450980427,51.0,,0.9867959825146472,1.0,0.03529411764705881,51.0,,,,,,,,,,,,,,,,
1,flanT5Small,contriever,mmr,0.43137254901960786,51,0.8657467089148702,0.9642865385238157,-0.040747549019607865,64.0,,0.9642865385238157,0.9782389228068682,0.03131401814457124,67.0,,0.9782389228068682,0.9914693283972029,0.018627450980392146,60.0,,0.9914693283972029,1.0,0.021752450980392135,64.0,,,,,,,,,,,,,,,,
2,flanT5Base,bm25,pl,0.3,280,0.9226491822046081,0.9741537259896984,0.021428571428571463,280.0,,0.9741537259896984,0.9836850162901885,-0.0050000000000000044,280.0,,0.9836850162901885,0.9914641568456237,-0.020714285714285685,280.0,,0.9914641568456237,1.0,0.08107142857142857,280.0,*,,,,,,,,,,,,,,,
2,flanT5Base,bm25,mmr,0.3,280,0.9226491822046082,0.9702257489417722,0.03238636363636366,352.0,,0.9702257489417722,0.9811861164546636,-0.01551724137931032,348.0,,0.9811861164546636,0.9908993653529019,-0.06420454545454543,352.0,,0.9908993653529019,1.0,0.06206896551724139,348.0,,,,,,,,,,,,,,,,
2,flanT5Base,contriever,pl,0.30714285714285716,280,0.9488985154926021,0.9831187791890481,0.005357142857142838,280.0,,0.9831187791890481,0.9903835305126814,0.011785714285714288,280.0,,0.9903835305126814,0.9965054056770279,0.054642857142857104,280.0,,0.9965054056770279,1.0,-0.004285714285714282,280.0,,,,,,,,,,,,,,,,
2,flanT5Base,contriever,mmr,0.30714285714285716,280,,,,,,,,,,,,,,,,,,,,,0.948898515492602,0.9848012941211577,-0.0014285714285714457,350.0,,0.9848012941211577,0.9927548701619084,0.06428571428571428,350.0,,0.9927548701619084,1.0,0.0071428571428571175,700.0,
2,flanT5Small,bm25,pl,0.3333333333333333,192,0.9358842726954265,0.9758092159737051,-0.05729166666666663,192.0,,0.9758092159737051,0.9850747917905223,0.011458333333333348,192.0,,0.9850747917905223,0.9930079396454659,-0.059895833333333315,192.0,,0.9930079396454659,1.0,0.128125,192.0,**,,,,,,,,,,,,,,,
