qid,lamp_num,generator_name,ranker,rerank_method,pl_alpha,pl_randmmr_lambda_low,pl_randmmr_lambda_high,expected_utility,max_utility,min_utility,avg_ild_jaccard,ee_disparity,ee_relevance,ee_difference,n_lists
312,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.8643166067230567,1.0,0.4,0.733333,10
313,4,flanT5Small,bm25,pl,8,,,0.07142856938775517,0.14285713877551035,0.0,0.9109509753896159,1.0,0.2,0.846154,10
315,4,flanT5Small,bm25,pl,8,,,0.027777775590277953,0.027777775590277953,0.027777775590277953,0.9747685954772853,0.908,0.0,0.923775,10
316,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.9674670755737275,0.964,0.18,0.890364,10
317,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.9398224473454773,1.0,0.4,0.733333,10
318,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.9612110631083892,0.964,0.0,0.976857,10
319,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.9708108965684424,1.0,0.0,0.98875,10
3110,4,flanT5Small,bm25,pl,8,,,0.06470053972917986,0.0689655122948874,0.02631578663781194,0.9663051463065659,1.0,0.2,0.888889,10
3111,4,flanT5Small,bm25,pl,8,,,0.04545454148760365,0.04545454148760365,0.04545454148760365,0.9351075793821252,0.936,0.0,0.96348,10
3112,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.9257554157829219,1.0,0.0,1.0,10
3114,4,flanT5Small,bm25,pl,8,,,0.14285713922902502,0.14285713922902502,0.14285713922902502,0.9330196576239309,0.904,0.480851,0.63845,10
3115,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.9460729362667054,1.0,0.0,1.0,10
3117,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.9157588817308339,1.0,0.2,0.959184,10
3118,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.936955922800705,1.0,0.4,0.851852,10
3119,4,flanT5Small,bm25,pl,8,,,0.03278688189196487,0.03278688189196487,0.03278688189196487,0.9350046458940321,1.0,0.0,1.0,10
3120,4,flanT5Small,bm25,pl,8,,,0.02597402411199204,0.02597402411199204,0.02597402411199204,0.9593059503958126,0.936,0.0,0.960615,10
3121,4,flanT5Small,bm25,pl,8,,,0.005405404978086228,0.027027024890431142,0.0,0.9690108138941398,0.936,0.0,0.962667,10
3122,4,flanT5Small,bm25,pl,8,,,0.0,0.0,0.0,0.9636290729969282,0.848,0.02,0.888,10
3123,4,flanT5Small,bm25,pl,8,,,0.0623829188931345,0.08333332833333364,0.04494381789168046,0.9440897676316112,0.78,0.0,0.833375,10
3124,4,flanT5Small,bm25,pl,8,,,0.02489177252924677,0.025974023525046613,0.02380952153344693,0.9450094042321437,1.0,0.2,0.941176,10
