lamp_num,generator,ranker,chosen_pl_alpha,det_ee_d,pl_ee_d,pl_eu_norm,randmmr_ee_d,randmmr_eu_norm,delta_eu_norm,p_value,sig,randmmr_better
1,flanT5Base,bm25,1,1.0,0.15863793103448276,0.460352422907489,0.1392198275862069,0.489647577092511,0.029295154185021988,0.2605734208003975,,True
1,flanT5Base,contriever,1,1.0,0.1591465517241379,0.46519823788546255,0.12666379310344827,0.4920704845814978,0.026872246696035273,0.3045379945598277,,True
1,flanT5Small,bm25,2,1.0,0.11415250980392157,0.11034482758620691,0.12305882352941176,0.11034482758620691,0.0,0.9999999999999997,,False
1,flanT5Small,contriever,1,1.0,0.15058823529411763,0.10172413793103449,0.11688235294117647,0.1310344827586207,0.02931034482758621,0.6144873212694727,,True
2,flanT5Base,bm25,1,0.9992857142857143,0.31965714285714286,0.22448979591836735,0.32778214285714286,0.20224489795918366,-0.02224489795918369,0.28932462934860154,,False
2,flanT5Base,contriever,1,0.9992857142857143,0.3201428571428571,0.21224489795918366,0.3275035714285714,0.22489795918367345,0.012653061224489781,0.5474335262234075,,True
2,flanT5Small,bm25,2,0.9979166666666667,0.28959111,0.14194756554307117,0.30401041666666667,0.1766891891891892,0.03474162364611802,0.22403094406082613,,True
2,flanT5Small,contriever,1,0.9979166666666667,0.30172916666666666,0.1905405405405405,0.3043177083333333,0.20574324324324325,0.015202702702702742,0.6224309157379087,,True
3,flanT5Base,bm25,2,1.0,0.10456084656084656,0.8871141975308642,0.09547354497354497,0.8883377425044091,0.0012235449735449322,0.8775508133240554,,True
3,flanT5Base,contriever,2,1.0,0.1023915343915344,0.8920855379188712,0.0936878306878307,0.8902116402116402,-0.0018738977072310092,0.8128672689100658,,False
3,flanT5Small,bm25,2,1.0,0.07954672,0.8593333333333334,0.09343729903536976,0.8566318327974277,-0.0027015005359056765,0.8249082717739369,,False
3,flanT5Small,contriever,2,1.0,0.10140192926045016,0.8651393354769559,0.09355305466237941,0.8614951768488744,-0.0036441586280814287,0.6750691919033708,,False
4,flanT5Base,bm25,1,1.0,0.21090205562273276,0.22636106973730838,0.19003212851405624,0.23397121035235763,0.007610140615049249,0.28026060820020365,,True
4,flanT5Base,contriever,1,1.0,0.20989117291414752,0.22760803979835403,0.17813119143239625,0.24097049679305962,0.01336245699470559,0.057528120465180216,,True
4,flanT5Small,bm25,2,1.0,0.19869782,0.183299440958473,0.20084753901560623,0.22851569631068414,0.04521625535221113,0.0005586499816930211,*,True
4,flanT5Small,contriever,1,1.0,0.20591356542617048,0.22361180798352662,0.189,0.23290966812100938,0.009297860137482766,0.13302665926945742,,True
5,flanT5Base,bm25,1,1.0,0.15684848484848485,0.48980894238167877,0.1268761528326746,0.4989841537074276,0.009175211325748833,0.5426984727045026,,True
5,flanT5Base,contriever,1,1.0,0.15733860342555994,0.4894430245954401,0.13104874835309618,0.49578558647358373,0.006342561878143638,0.6725518740238516,,True
5,flanT5Small,bm25,1,1.0,0.1564358353510896,0.37825408298331553,0.12726634382566587,0.38362527658297985,0.0053711935996643145,0.6619459437954511,,True
5,flanT5Small,contriever,1,1.0,0.1570266343825666,0.3765703282616777,0.13198789346246972,0.3828336453754884,0.006263317113810729,0.6052750810879544,,True
7,flanT5Base,bm25,2,1.0,0.5047014218009479,0.6429477559028521,0.48098578199052133,0.6386372138235599,-0.004310542079292268,0.8547474141352022,,False
7,flanT5Base,contriever,2,1.0,0.48763981042654025,0.6325623686572714,0.4424075829383886,0.637597308235084,0.005034939577812536,0.8284849880581042,,True
7,flanT5Small,bm25,2,1.0,0.5351342465753425,0.5130592233562749,0.5149561643835616,0.519241576294627,0.00618235293835212,0.7051201849611575,,True
7,flanT5Small,contriever,2,1.0,0.5227945205479452,0.5098263876215122,0.48115835777126104,0.504617785788091,-0.0052086018334212,0.7423065716563941,,False
