lamp_num,generator,ranker,chosen_pl_alpha,det_ee_d,pl_ee_d,pl_eu_norm,pl_n,randmmr_ee_d,randmmr_eu_norm,randmmr_n,delta_eu_norm,p_value,sig,randmmr_better
1,flanT5Base,bm25,2,1.0,0.1928103448275862,0.509051724137931,10,0.1857931034482758,0.4896551724137931,10,-0.0193965517241379,0.5323971997508449,,False
1,flanT5Base,contriever,2,1.0,0.1820862068965517,0.555603448275862,10,0.1733620689655172,0.507758620689655,10,-0.047844827586207,0.1229753907191885,,False
1,flanT5Small,bm25,2,1.0,0.1780392156862745,0.4019607843137255,10,0.172549019607843,0.3941176470588234,10,-0.0078431372549021,0.933413733237107,,False
1,flanT5Small,contriever,2,1.0,0.172235294117647,0.388235294117647,10,0.1631372549019608,0.4078431372549019,10,0.0196078431372548,0.8347481565869943,,True
2,flanT5Base,bm25,2,0.9992857142857144,0.3784571428571429,0.3214285714285714,10,0.3562571428571429,0.3132142857142856,10,-0.0082142857142857,0.7835874167852064,,False
2,flanT5Base,contriever,2,0.9992857142857144,0.3783285714285714,0.3189285714285714,10,0.3579428571428572,0.3132142857142858,10,-0.0057142857142856,0.845175549546955,,False
2,flanT5Small,bm25,2,0.9979166666666668,0.33776,0.243,10,0.3377708333333333,0.3510416666666667,10,0.1080416666666667,0.0171388803147902,*,True
2,flanT5Small,contriever,2,0.9979166666666668,0.3568333333333333,0.3807291666666667,10,0.3383958333333334,0.3692708333333334,10,-0.0114583333333333,0.783033759805338,,False
3,flanT5Base,bm25,2,1.0,0.150994708994709,0.9257275132275132,10,0.1457989417989418,0.9250440917107584,10,-0.0006834215167548,0.9241231882450084,,False
3,flanT5Base,contriever,2,1.0,0.1496402116402116,0.9243606701940036,10,0.1441587301587301,0.9228615520282188,10,-0.0014991181657847,0.8434237937272007,,False
3,flanT5Small,bm25,2,1.0,0.1430799999999999,0.8699166666666668,10,0.1442829581993569,0.8854769560557342,10,0.0155602893890673,0.2200989081672391,,True
3,flanT5Small,contriever,2,1.0,0.1484501607717041,0.8926045016077171,10,0.1445273311897106,0.8925509110396571,10,-5.359056805998019e-05,0.9954987657931323,,False
4,flanT5Base,bm25,2,1.0,0.2542345828295042,0.2480621474253541,10,0.2510133010882709,0.2506281927165492,10,0.0025660452911951,0.739435273773924,,True
4,flanT5Base,contriever,2,1.0,0.2447110036275695,0.2524711197141185,10,0.2378960096735188,0.2528632895397952,10,0.0003921698256766,0.9589607795258496,,True
4,flanT5Small,bm25,2,1.0,0.259,0.2224998202041073,10,0.246343337334934,0.2720469868468748,10,0.0495471666427675,0.001902435585033,**,True
4,flanT5Small,contriever,2,1.0,0.2385114045618247,0.2640745129332975,10,0.2334261704681872,0.2575645910346415,10,-0.006509921898656,0.4124839075899987,,False
5,flanT5Base,bm25,2,1.0,0.1810434782608695,0.5271909341250071,10,0.1733438735177865,0.5287544882918366,10,0.0015635541668295,0.9174072943298712,,True
5,flanT5Base,contriever,2,1.0,0.1838524374176548,0.5251934902389673,10,0.1777285902503294,0.5270144192115718,10,0.0018209289726044,0.9045534169055268,,True
5,flanT5Small,bm25,2,1.0,0.1803874092009685,0.4191298767483979,10,0.1739467312348668,0.4116708485789115,10,-0.0074590281694864,0.5585658369913314,,False
5,flanT5Small,contriever,2,1.0,0.1836464891041162,0.4124452911365534,10,0.1790799031476997,0.4068547730534095,10,-0.0055905180831438,0.6540512077003784,,False
6,flanT5Base,bm25,2,1.0,0.2394738186462324,0.4105242817586211,10,0.2310140485312899,0.4117710432717317,10,0.0012467615131106,0.9329652279064806,,True
6,flanT5Base,contriever,2,1.0,0.2361379310344827,0.4040233144128246,10,0.2260178799489144,0.4031029606262311,10,-0.0009203537865935,0.9496759361134166,,False
6,flanT5Small,bm25,2,1.0,0.2374631578947368,0.3873118537665985,10,0.2303105263157894,0.3860824865707011,10,-0.0012293671958973,0.9331067588618244,,False
6,flanT5Small,contriever,2,1.0,0.2351473684210526,0.3836598036303705,10,0.2261,0.3812458010109042,10,-0.0024140026194663,0.869707642662563,,False
7,flanT5Base,bm25,2,1.0,0.5047014218009479,0.6613416863251114,10,0.4988815165876777,0.654445594432652,10,-0.0068960918924593,0.7678223963067073,,False
7,flanT5Base,contriever,2,1.0,0.4876398104265402,0.6456792279042789,10,0.4634312796208532,0.6496579901701841,10,0.0039787622659052,0.8616696924481685,,True
7,flanT5Small,bm25,2,1.0,0.5351342465753425,0.5318851678768677,10,0.5304328767123287,0.5408236935966055,10,0.0089385257197378,0.5811214021635599,,True
7,flanT5Small,contriever,2,1.0,0.5227945205479452,0.5248064452817413,10,0.4996821917808219,0.5261683563562515,10,0.0013619110745102,0.9320926061944564,,True
