lamp_num,generator_name,ranker,method,baseline_eu_norm,n_baseline,Q1_lo,Q1_hi,Q1_delta,Q1_n,Q1_sig,Q2_lo,Q2_hi,Q2_delta,Q2_n,Q2_sig,Q3_lo,Q3_hi,Q3_delta,Q3_n,Q3_sig,Q4_lo,Q4_hi,Q4_delta,Q4_n,Q4_sig
1,flanT5Small,bm25,pl,0.45098039215686275,51,0.249999999,0.375,-0.016365007541478127,52,,0.375,0.625,-0.014980392156862643,50,,0.625,0.8125,-0.03725490196078429,51,,0.8125,1.000000001,-0.03921568627450972,51,
1,flanT5Small,bm25,mmr,0.45098039215686275,51,0.199999999,0.5,-0.0114199525964232,91,,0.5,0.6,-0.0009803921568627416,80,,0.6,0.7,-0.13848039215686275,32,,0.7,1.000000001,-0.02790346907993968,52,
1,flanT5Small,contriever,pl,0.43137254901960786,51,0.249999999,0.4375,0.0019607843137254832,51,,0.4375,0.625,0.0039215686274508554,51,,0.625,0.8125,-0.03529411764705881,51,,0.8125,1.000000001,-0.047058823529411764,51,
1,flanT5Small,contriever,mmr,0.43137254901960786,51,0.199999999,0.5,-0.07137254901960788,100,,0.5,0.6,0.1762223876892529,79,,0.6,0.75,-0.26470588235294124,12,,0.75,1.000000001,-0.025122549019607865,64,
1,flanT5Base,bm25,pl,0.6810344827586207,232,0.249999999,0.375,-0.06778661951075737,234,,0.375,0.625,-0.05320839580209902,230,,0.625,0.875,-0.16086280893887817,233,**,0.875,1.000000001,-0.15809075981489762,231,**
1,flanT5Base,bm25,mmr,0.6810344827586207,232,0.199999999,0.5,0.035757497191253984,399,,0.5,0.6,-0.09383801476745068,453,*,0.6,0.7,0.03325123152709364,98,,0.7,1.000000001,0.018965517241379293,210,
1,flanT5Base,contriever,pl,0.6422413793103449,232,0.249999999,0.375,-0.020352967293177482,233,,0.375,0.625,-0.008475145544111218,231,,0.625,0.8125,-0.08663793103448292,232,*,0.8125,1.000000001,-0.08922413793103445,232,*
1,flanT5Base,contriever,mmr,0.6422413793103449,232,0.199999999,0.4,0.008606078316773735,295,,0.4,0.6,-0.0077122313282820265,446,,0.6,0.8,-0.010206747275712802,231,,0.8,1.000000001,-0.003943506969919297,188,
2,flanT5Small,bm25,pl,0.3333333333333333,192,0.249999999,0.5,-0.014814814814814836,378,,0.5,0.625,0.6416666666666666,12,**,0.625,0.75,0.0010582010582010914,189,,0.75,1.000000001,0.010582010582010581,189,
2,flanT5Small,bm25,mmr,0.3333333333333333,192,0.199999999,0.5,-0.11007751937984495,215,*,0.5,0.6,-0.03475513428120064,211,,0.6,0.6666666666666666,0.15187376725838264,169,**,0.6666666666666666,1.000000001,-0.007366482504604033,181,
2,flanT5Small,contriever,pl,0.375,192,0.249999999,0.375,-0.02422279792746118,193,,0.375,0.625,0.029500000000000026,200,,0.625,0.75,-0.0052702702702702164,185,,0.75,1.000000001,-0.009736842105263155,190,
2,flanT5Small,contriever,mmr,0.375,192,0.199999999,0.5,-0.09807692307692306,195,*,0.5,0.6,-0.018776824034334783,233,,0.6,0.6666666666666666,0.15236318407960203,201,**,0.6666666666666666,1.000000001,-0.08248299319727892,147,
2,flanT5Base,bm25,pl,0.3,280,0.249999999,0.375,0.007801418439716323,282,,0.375,0.625,0.036524822695035486,282,,0.625,0.75,0.008992805755395739,278,,0.75,1.000000001,0.023381294964028798,278,
2,flanT5Base,bm25,mmr,0.3,280,,,,0,,,,,0,,,,,0,,,,,0,
2,flanT5Base,contriever,pl,0.30714285714285716,280,0.249999999,0.375,0.03040100250626565,285,,0.375,0.625,0.031019687026754172,283,,0.625,0.875,0.02941628264208912,279,,0.875,1.000000001,-0.02472527472527475,273,
2,flanT5Base,contriever,mmr,0.30714285714285716,280,,,,0,,,,,0,,,,,0,,,,,0,
3,flanT5Small,bm25,pl,0.9080921757770632,311,0.249999999,0.375,-0.0018355197600239403,313,,0.375,0.625,-0.00935970544265119,309,,0.625,0.8125,-0.021730975348338566,311,*,0.8125,1.000000001,-0.025562700964630092,311,*
3,flanT5Small,bm25,mmr,0.9080921757770632,311,0.199999999,0.5,-0.002926719764149599,413,,0.5,0.6666666666666666,-0.0169157051888279,340,,0.6666666666666666,0.8333333333333334,-0.012762063055646311,207,,0.8333333333333334,1.000000001,-0.020808938782843622,173,
3,flanT5Small,contriever,pl,0.8968381564844587,311,0.249999999,0.375,-1.2759659061889472e-05,315,,0.375,0.625,-0.0014255614790299465,307,,0.625,0.875,-0.0054118744331767,312,,0.875,1.000000001,-0.003612350032845879,310,
3,flanT5Small,contriever,mmr,0.8968381564844587,311,0.199999999,0.5,-0.0006079977543000936,420,,0.5,0.6666666666666666,0.004377648986665816,329,,0.6666666666666666,0.8333333333333334,-0.007823004969307212,220,,0.8333333333333334,1.000000001,-0.016248725590149893,164,
3,flanT5Base,bm25,pl,0.9226190476190477,378,0.249999999,0.375,-0.003754817854034753,383,,0.375,0.625,-0.0005681092812461763,373,,0.625,0.875,0.0038541274029399997,379,,0.875,1.000000001,0.0064039408866994885,377,
3,flanT5Base,bm25,mmr,0.9226190476190477,378,0.199999999,0.4,-0.0006190476190476302,500,,0.4,0.6,0.0001951600312255497,732,,0.6,0.8,0.005809380809380649,333,,0.8,1.000000001,-0.00569597069597072,325,
3,flanT5Base,contriever,pl,0.9268077601410936,378,0.249999999,0.375,0.003362396926969269,382,,0.375,0.625,-0.003969079214177329,374,,0.625,0.8125,-0.0007936507936510129,378,,0.8125,1.000000001,-0.0009479717813053457,378,
3,flanT5Base,contriever,mmr,0.9268077601410936,378,0.199999999,0.4,0.011343281525573068,512,,0.4,0.6,-0.001725946209349849,713,,0.6,0.8,0.012781542628724885,349,,0.8,1.000000001,-0.004339405710713784,316,
4,flanT5Small,bm25,pl,0.2968901898794616,833,0.249999999,0.375,-0.0016552577289261072,848,,0.375,0.625,-0.0016023816823794723,821,,0.625,0.875,-0.012709786667856271,836,,0.875,1.000000001,-0.020581609442536397,827,
4,flanT5Small,bm25,mmr,0.2968901898794616,833,,,,0,,,,,0,,,,,0,,,,,0,
4,flanT5Small,contriever,pl,0.3260295864037321,833,0.249999999,0.375,-0.007779245987304839,836,,0.375,0.625,-0.01554008311413696,831,,0.625,0.875,-0.058972541112344956,839,**,0.875,1.000000001,-0.06562695206831587,826,**
4,flanT5Small,contriever,mmr,0.3260295864037321,833,0.199999999,0.5,0.011593185158867758,710,,0.5,0.6666666666666666,-0.0022111204409799856,1278,,0.6666666666666666,0.8,-0.10331826250883819,71,**,0.8,1.000000001,-0.018463263915466377,640,
4,flanT5Base,bm25,pl,0.29079477818297667,827,0.249999999,0.375,-0.000584762662981575,842,,0.375,0.625,-0.005170145382172531,815,,0.625,0.875,-0.04002190128775768,830,**,0.875,1.000000001,-0.05188900172797986,821,**
4,flanT5Base,bm25,mmr,0.29079477818297667,827,0.199999999,0.5,-0.0012795928490384467,1517,,0.5,0.6,0.01033019073552377,1584,,,,,0,,0.6499999999999999,1.000000001,-0.0003662206259594236,1034,
4,flanT5Base,contriever,pl,0.3395872501972337,827,0.249999999,0.375,-0.017322138992183322,831,,0.375,0.625,-0.01521480901397193,823,,0.625,0.875,-0.07409170329309084,830,**,0.875,1.000000001,-0.08317230246729351,824,**
4,flanT5Base,contriever,mmr,0.3395872501972337,827,0.199999999,0.5,-0.008299369846443305,1715,,0.5,0.6,0.00027777167138381964,1162,,0.6,0.7,-0.04715515538019083,296,*,0.7,1.000000001,0.013793222214012635,962,
5,flanT5Small,bm25,pl,0.4578611318875435,826,0.249999999,0.375,0.00013136863816309852,829,,0.375,0.625,4.494516251007941e-06,825,,0.625,0.78125,-0.03820675627093706,824,*,0.78125,1.000000001,-0.04606383024353883,826,**
5,flanT5Small,bm25,mmr,0.4578611318875435,826,0.199999999,0.5,0.01769810191769766,865,,0.5,0.6666666666666666,-0.011157427982483037,898,,0.6666666666666666,0.8333333333333334,0.014396276114195694,579,,0.8333333333333334,1.000000001,0.027927590629868937,336,
5,flanT5Small,contriever,pl,0.4648746890625483,826,0.249999999,0.375,-0.006857057379860865,831,,0.375,0.625,-0.009658871141116743,821,,0.625,0.875,-0.054088454653677454,827,**,0.875,1.000000001,-0.05255840153629321,825,**
5,flanT5Small,contriever,mmr,0.4648746890625483,826,0.199999999,0.5,-0.012607128493916986,798,,0.5,0.6666666666666666,0.0028533274202438563,1008,,0.6666666666666666,0.8333333333333334,-0.006620005094621906,570,,0.8333333333333334,1.000000001,-0.04395453755230938,302,
5,flanT5Base,bm25,pl,0.5311688244650712,759,0.249999999,0.375,0.005110552731144913,762,,0.375,0.625,0.009322354676873701,758,,0.625,0.78125,-0.0010843864814081838,757,,0.78125,1.000000001,-0.010723430214721774,759,
